# Title: January 2020 - December 2024 Contiguous U.S. County Precipitation
# Units: Inches
# Missing: -99
# Note: Period of Record: 126 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
MI-047,Emmet County,Michigan,165.97,16.27,102,149.7
MI-049,Genesee County,Michigan,173.67,23.29,116,150.38
MI-051,Gladwin County,Michigan,154.51,10.15,98,144.36
MI-053,Gogebic County,Michigan,167.22,3.59,74,163.63
MI-055,Grand Traverse County,Michigan,159.33,6.74,88,152.59
MI-057,Gratiot County,Michigan,163.66,13.39,93,150.27
MI-059,Hillsdale County,Michigan,181.72,11.15,87,170.57
MI-061,Houghton County,Michigan,157.24,4.6,83,152.64
MI-063,Huron County,Michigan,155.44,7.42,82,148.02
MI-065,Ingham County,Michigan,176.72,23.28,111,153.44
MI-067,Ionia County,Michigan,178.09,19.85,98,158.24
MI-069,Iosco County,Michigan,152.41,8.36,90,144.05
MI-071,Iron County,Michigan,158.72,5.56,83,153.16
MI-073,Isabella County,Michigan,159.79,11.07,93,148.72
MI-075,Jackson County,Michigan,177.51,20.35,111,157.16
MI-077,Kalamazoo County,Michigan,190.33,17.55,108,172.78
MI-079,Kalkaska County,Michigan,169.1,12.08,99,157.02
MI-081,Kent County,Michigan,178.3,14.23,95,164.07
MI-083,Keweenaw County,Michigan,157.7,11.06,96,146.64
MI-085,Lake County,Michigan,167.99,5.23,77,162.76
MI-087,Lapeer County,Michigan,174.34,24.9,120,149.44
MI-089,Leelanau County,Michigan,163.32,11.93,94,151.39
MI-091,Lenawee County,Michigan,169.71,11.05,97,158.66
MI-093,Livingston County,Michigan,172.82,20.77,110,152.05
MI-095,Luce County,Michigan,170.48,10.31,93,160.17
MI-097,Mackinac County,Michigan,169.73,16.05,107,153.68
MI-099,Macomb County,Michigan,179.6,28.84,117,150.76
MI-101,Manistee County,Michigan,165.25,7.5,88,157.75
MI-103,Marquette County,Michigan,172.36,14.36,108,158
MI-105,Mason County,Michigan,165.06,10.06,90,155
MI-107,Mecosta County,Michigan,161.57,4.57,74,157
MI-109,Menominee County,Michigan,149.96,-0.11,61,150.07
MI-111,Midland County,Michigan,156.86,11.14,93,145.72
MI-113,Missaukee County,Michigan,163.66,14.23,98,149.43
MI-115,Monroe County,Michigan,167.42,12.02,93,155.4
MI-117,Montcalm County,Michigan,175.38,17.85,103,157.53
MI-119,Montmorency County,Michigan,152.87,10.56,101,142.31
MI-121,Muskegon County,Michigan,172.55,12.45,92,160.1
MI-123,Newaygo County,Michigan,168.05,5.83,78,162.22
MI-125,Oakland County,Michigan,175.64,22.68,113,152.96
MI-127,Oceana County,Michigan,173.44,15.01,92,158.43
MI-129,Ogemaw County,Michigan,157.86,13.47,104,144.39
MI-131,Ontonagon County,Michigan,159.46,1.42,67,158.04
MI-133,Osceola County,Michigan,163.52,8.33,86,155.19
MI-135,Oscoda County,Michigan,152.48,8.13,94,144.35
MI-137,Otsego County,Michigan,165.14,13.81,103,151.33
MI-139,Ottawa County,Michigan,171.32,6.66,79,164.66
MI-141,Presque Isle County,Michigan,160.11,14.93,107,145.18
MI-143,Roscommon County,Michigan,159.2,11.22,98,147.99
MI-145,Saginaw County,Michigan,168.08,20.61,113,147.47
MI-147,St. Clair County,Michigan,172.13,19.37,110,152.76
MI-149,St. Joseph County,Michigan,189.36,17.99,108,171.37
MI-151,Sanilac County,Michigan,161.75,11.71,96,150.04
MI-153,Schoolcraft County,Michigan,178.52,21.15,117,157.37
MI-155,Shiawassee County,Michigan,176.12,26.12,114,150
MI-157,Tuscola County,Michigan,163.92,16.31,104,147.61
MI-159,Van Buren County,Michigan,191.61,14.29,94,177.32
MI-161,Washtenaw County,Michigan,172.62,23.91,114,148.71
MI-163,Wayne County,Michigan,175.34,22.7,112,152.64
MI-165,Wexford County,Michigan,169.86,10.4,91,159.46
MN-001,Aitkin County,Minnesota,134.45,-0.43,45,134.88
MN-003,Anoka County,Minnesota,131.99,-13.83,10,145.82
MN-005,Becker County,Minnesota,110.79,-7.84,22,118.63
MN-007,Beltrami County,Minnesota,111.63,-5.83,33,117.46
MN-009,Benton County,Minnesota,140.19,6.83,67,133.36
MN-011,Big Stone County,Minnesota,118.64,5.41,70,113.23
MN-013,Blue Earth County,Minnesota,149.45,5.41,70,144.04
MN-015,Brown County,Minnesota,135.23,-3.83,45,139.06
MN-017,Carlton County,Minnesota,137.46,-2.53,45,139.99
MN-019,Carver County,Minnesota,133.51,-8.79,27,142.3
MN-021,Cass County,Minnesota,122.85,-4.98,35,127.83
MN-023,Chippewa County,Minnesota,129.75,6.07,71,123.68
MN-025,Chisago County,Minnesota,139.91,-6.32,36,146.23
MN-027,Clay County,Minnesota,109.75,1.39,60,108.36
MN-029,Clearwater County,Minnesota,111.41,-6.35,32,117.76
MN-031,Cook County,Minnesota,150.6,4.05,75,146.55
MN-033,Cottonwood County,Minnesota,138.11,3.72,67,134.39
MN-035,Crow Wing County,Minnesota,133.93,5.2,63,128.73
MN-037,Dakota County,Minnesota,139.36,-6.77,36,146.13
MN-039,Dodge County,Minnesota,162.2,11.41,83,150.79
MN-041,Douglas County,Minnesota,124.43,0.3,48,124.13
MN-043,Faribault County,Minnesota,152,4.32,63,147.68
MN-045,Fillmore County,Minnesota,163.37,3.77,66,159.6
MN-047,Freeborn County,Minnesota,158.38,4.7,70,153.68
MN-049,Goodhue County,Minnesota,151.47,3.02,63,148.45
MN-051,Grant County,Minnesota,118.27,0.91,53,117.36
MN-053,Hennepin County,Minnesota,134.83,-9.86,22,144.69
MN-055,Houston County,Minnesota,167.67,6.74,80,160.93
MN-057,Hubbard County,Minnesota,114.49,-11.61,21,126.1
MN-059,Isanti County,Minnesota,131.81,-12.08,20,143.89
MN-061,Itasca County,Minnesota,121.32,-5.69,35,127.01
MN-063,Jackson County,Minnesota,140.75,3.3,71,137.45
MN-065,Kanabec County,Minnesota,141.15,1.54,56,139.61
MN-067,Kandiyohi County,Minnesota,124.8,-1.79,45,126.59
MN-069,Kittson County,Minnesota,98.04,-2.81,39,100.85
MN-071,Koochiching County,Minnesota,126.64,-1.52,44,128.16
MN-073,Lac qui Parle County,Minnesota,124.58,5.04,70,119.54
MN-075,Lake County,Minnesota,143.28,0.04,51,143.24
MN-077,Lake of the Woods County,Minnesota,106.36,-7.92,14,114.28
MN-079,Le Sueur County,Minnesota,146.95,1.67,61,145.28
MN-081,Lincoln County,Minnesota,125.73,2.98,67,122.75
MN-083,Lyon County,Minnesota,127.82,3.61,67,124.21
MN-085,McLeod County,Minnesota,110.68,-27.15,1,137.83
MN-087,Mahnomen County,Minnesota,107.02,-7.79,28,114.81
MN-089,Marshall County,Minnesota,95.67,-7.12,26,102.79
MN-091,Martin County,Minnesota,145.71,2.89,70,142.82
MN-093,Meeker County,Minnesota,117.72,-12.74,18,130.46
MN-095,Mille Lacs County,Minnesota,134.8,-2.69,43,137.49
MN-097,Morrison County,Minnesota,133.63,4.32,58,129.31
MN-099,Mower County,Minnesota,162.19,4.43,65,157.76
MN-101,Murray County,Minnesota,125.07,-5.23,42,130.3
MN-103,Nicollet County,Minnesota,128.12,-16.54,11,144.66
MN-105,Nobles County,Minnesota,124.18,-11.37,19,135.55
MN-107,Norman County,Minnesota,106.15,-0.82,50,106.97
MN-109,Olmsted County,Minnesota,162.04,7.78,79,154.26
MN-111,Otter Tail County,Minnesota,119.27,-0.66,41,119.93
MN-113,Pennington County,Minnesota,96.51,-9.62,24,106.13
MN-115,Pine County,Minnesota,143.36,-0.57,49,143.93
MN-117,Pipestone County,Minnesota,116.09,-8.81,26,124.9
MN-119,Polk County,Minnesota,100.53,-4.93,32,105.46
MN-121,Pope County,Minnesota,125.85,3.69,59,122.16
MN-123,Ramsey County,Minnesota,142.69,-2.59,46,145.28
MN-125,Red Lake County,Minnesota,100.35,-7.09,27,107.44
MN-127,Redwood County,Minnesota,128.48,-1.17,56,129.65
MN-129,Renville County,Minnesota,118.8,-13.21,15,132.01
MN-131,Rice County,Minnesota,158.93,12.79,87,146.14
MN-133,Rock County,Minnesota,119.11,-11.08,21,130.19
MN-135,Roseau County,Minnesota,103.23,-2.84,38,106.07
MN-137,St. Louis County,Minnesota,138.36,2.21,59,136.15
MN-139,Scott County,Minnesota,140.51,-3.67,45,144.18
MN-141,Sherburne County,Minnesota,130.12,-8.28,30,138.4
MN-143,Sibley County,Minnesota,117.04,-25.64,1,142.68
MN-145,Stearns County,Minnesota,135.07,8.14,70,126.93
MN-147,Steele County,Minnesota,165.1,17.34,94,147.76
MN-149,Stevens County,Minnesota,119.31,2.59,62,116.72
MN-151,Swift County,Minnesota,126.21,5.4,71,120.81
MN-153,Todd County,Minnesota,132.25,7.02,64,125.23
MN-155,Traverse County,Minnesota,118.61,7.91,82,110.7
MN-157,Wabasha County,Minnesota,156.67,4.09,66,152.58
MN-159,Wadena County,Minnesota,120.86,-5.99,31,126.85
MN-161,Waseca County,Minnesota,159.21,13.62,91,145.59
MN-163,Washington County,Minnesota,144.29,-2.58,45,146.87
MN-165,Watonwan County,Minnesota,150.69,10.48,90,140.21
MN-167,Wilkin County,Minnesota,109.86,-0.97,41,110.83
MN-169,Winona County,Minnesota,171.33,12.52,88,158.81
MN-171,Wright County,Minnesota,121.04,-16.9,9,137.94
MN-173,Yellow Medicine County,Minnesota,128.49,5.2,73,123.29
MS-001,Adams County,Mississippi,294.75,11.53,90,283.22
MS-003,Alcorn County,Mississippi,304.52,37.81,113,266.71
MS-005,Amite County,Mississippi,331.72,24.22,108,307.5
MS-007,Attala County,Mississippi,294.88,29.13,105,265.75
MS-009,Benton County,Mississippi,305.4,33.51,111,271.89
MS-011,Bolivar County,Mississippi,274.05,14.81,90,259.24
MS-013,Calhoun County,Mississippi,267.46,-0.85,56,268.31
MS-015,Carroll County,Mississippi,276.41,11.35,78,265.06
MS-017,Chickasaw County,Mississippi,283.76,16.6,88,267.16
MS-019,Choctaw County,Mississippi,284.96,15.44,87,269.52
MS-021,Claiborne County,Mississippi,290.33,15.3,95,275.03
MS-023,Clarke County,Mississippi,315.08,26.48,115,288.6
MS-025,Clay County,Mississippi,288.26,22.92,99,265.34
MS-027,Coahoma County,Mississippi,265.96,6.92,77,259.04
MS-029,Copiah County,Mississippi,302.69,24.41,106,278.28
MS-031,Covington County,Mississippi,303.61,16.25,92,287.36
MS-033,DeSoto County,Mississippi,279.79,21.84,101,257.95
MS-035,Forrest County,Mississippi,322.7,23.6,101,299.1
MS-037,Franklin County,Mississippi,312.73,19.44,95,293.29
MS-039,George County,Mississippi,331.3,11.9,84,319.4
MS-041,Greene County,Mississippi,331.16,23.85,100,307.31
MS-043,Grenada County,Mississippi,274.78,10.47,80,264.31
MS-045,Hancock County,Mississippi,335.62,22.99,101,312.63
MS-047,Harrison County,Mississippi,328.03,14.37,86,313.66
MS-049,Hinds County,Mississippi,309.67,44.46,120,265.21
MS-051,Holmes County,Mississippi,284.26,21.06,97,263.2
MS-053,Humphreys County,Mississippi,281.11,17.66,94,263.45
MS-055,Issaquena County,Mississippi,280.55,15.71,89,264.84
MS-057,Itawamba County,Mississippi,304.92,37.13,111,267.79
MS-059,Jackson County,Mississippi,329.48,14.97,90,314.51
MS-061,Jasper County,Mississippi,310.37,20.87,106,289.5
MS-063,Jefferson County,Mississippi,294.44,13.36,90,281.08
MS-065,Jefferson Davis County,Mississippi,310.81,19.75,102,291.06
MS-067,Jones County,Mississippi,309.26,18.04,97,291.22
MS-069,Kemper County,Mississippi,284.01,12.79,94,271.22
MS-071,Lafayette County,Mississippi,290.09,21.25,98,268.84
MS-073,Lamar County,Mississippi,320.24,19.82,98,300.42
MS-075,Lauderdale County,Mississippi,290.69,10.42,83,280.27
MS-077,Lawrence County,Mississippi,308.71,19.26,105,289.45
MS-079,Leake County,Mississippi,302.88,32.07,112,270.81
MS-081,Lee County,Mississippi,292.95,27.02,100,265.93
MS-083,Leflore County,Mississippi,273.59,11.28,84,262.31
MS-085,Lincoln County,Mississippi,310.15,17.09,100,293.06
MS-087,Lowndes County,Mississippi,286.78,22,98,264.78
MS-089,Madison County,Mississippi,304.78,42.61,117,262.17
MS-091,Marion County,Mississippi,318.96,18.14,98,300.82
MS-093,Marshall County,Mississippi,296.14,27.67,108,268.47
MS-095,Monroe County,Mississippi,301.66,32.3,111,269.36
MS-097,Montgomery County,Mississippi,277.14,11.56,77,265.58
MS-099,Neshoba County,Mississippi,295.03,19.76,103,275.27
MS-101,Newton County,Mississippi,304.48,22.82,104,281.66
MS-103,Noxubee County,Mississippi,291.38,31.24,111,260.14
MS-105,Oktibbeha County,Mississippi,288.52,24.91,101,263.61
MS-107,Panola County,Mississippi,287.8,19.69,100,268.11
MS-109,Pearl River County,Mississippi,339.87,30.26,108,309.61
MS-111,Perry County,Mississippi,332.09,27.51,106,304.58
MS-113,Pike County,Mississippi,321.84,14.3,91,307.54
MS-115,Pontotoc County,Mississippi,293.05,25.33,96,267.72
MS-117,Prentiss County,Mississippi,300.15,31.24,105,268.91
MS-119,Quitman County,Mississippi,279,15.59,96,263.41
MS-121,Rankin County,Mississippi,311.4,42.7,117,268.7
MS-123,Scott County,Mississippi,310.58,36.52,114,274.06
MS-125,Sharkey County,Mississippi,283.65,19.41,96,264.24
MS-127,Simpson County,Mississippi,311.53,30.28,109,281.26
MS-129,Smith County,Mississippi,310.21,26.21,108,284
MS-131,Stone County,Mississippi,335,20.4,97,314.6
MS-133,Sunflower County,Mississippi,276.6,12.53,83,264.07
MS-135,Tallahatchie County,Mississippi,282.79,17.83,94,264.96
MS-137,Tate County,Mississippi,283.75,21.57,101,262.18
MS-139,Tippah County,Mississippi,301.17,30.58,106,270.59
MS-141,Tishomingo County,Mississippi,312.33,42.16,113,270.17
MS-143,Tunica County,Mississippi,279.79,20.47,106,259.32
MS-145,Union County,Mississippi,296.12,27.38,102,268.74
MS-147,Walthall County,Mississippi,325.99,19.19,100,306.8
MS-149,Warren County,Mississippi,291.13,25.18,100,265.95
MS-151,Washington County,Mississippi,277.27,11.58,77,265.69
MS-153,Wayne County,Mississippi,336.16,40.46,120,295.7
MS-155,Webster County,Mississippi,267.77,1.74,60,266.03
MS-157,Wilkinson County,Mississippi,312.52,15.93,98,296.59
MS-159,Winston County,Mississippi,290.89,21.99,101,268.9
MS-161,Yalobusha County,Mississippi,287.36,15.7,93,271.66
MS-163,Yazoo County,Mississippi,298.71,36.46,115,262.25
MO-001,Adair County,Missouri,189.47,3.51,64,185.96
MO-003,Andrew County,Missouri,177.85,-0.39,55,178.24
MO-005,Atchison County,Missouri,142.38,-30.41,6,172.79
MO-007,Audrain County,Missouri,186.94,-3.71,45,190.65
MO-009,Barry County,Missouri,238.88,16.5,91,222.38
MO-011,Barton County,Missouri,198.44,-4.91,44,203.35
MO-013,Bates County,Missouri,206.51,5.67,69,200.84
MO-015,Benton County,Missouri,205.06,-1.31,52,206.37
MO-017,Bollinger County,Missouri,246.46,20.47,99,225.99
MO-019,Boone County,Missouri,195.73,3.23,58,192.5
MO-021,Buchanan County,Missouri,178.47,-1.04,56,179.51
MO-023,Butler County,Missouri,263.34,26.68,109,236.66
MO-025,Caldwell County,Missouri,177.69,-6.32,36,184.01
MO-027,Callaway County,Missouri,202.43,10.87,72,191.56
MO-029,Camden County,Missouri,205.46,-1.45,59,206.91
MO-031,Cape Girardeau County,Missouri,237.55,14.23,88,223.32
MO-033,Carroll County,Missouri,190.05,-0.35,52,190.4
MO-035,Carter County,Missouri,235.64,9.59,82,226.05
MO-037,Cass County,Missouri,201.38,3.48,63,197.9
MO-039,Cedar County,Missouri,210.36,5.85,71,204.51
MO-041,Chariton County,Missouri,182.77,-10.17,26,192.94
MO-043,Christian County,Missouri,235.56,19.2,101,216.36
MO-045,Clark County,Missouri,179.69,1.36,61,178.33
MO-047,Clay County,Missouri,162.75,-22.29,12,185.04
MO-049,Clinton County,Missouri,163.67,-19.96,11,183.63
MO-051,Cole County,Missouri,196.33,1.84,59,194.49
MO-053,Cooper County,Missouri,193.55,-0.59,48,194.14
MO-055,Crawford County,Missouri,231.37,28.16,114,203.21
MO-057,Dade County,Missouri,221.34,14.83,88,206.51
MO-059,Dallas County,Missouri,227.56,18.41,99,209.15
MO-061,Daviess County,Missouri,181.92,1.06,59,180.86
MO-063,DeKalb County,Missouri,181.05,1.3,59,179.75
MO-065,Dent County,Missouri,236.08,24.26,107,211.82
MO-067,Douglas County,Missouri,255.84,38.13,121,217.71
MO-069,Dunklin County,Missouri,256.84,16.63,99,240.21
MO-071,Franklin County,Missouri,215.83,18.75,105,197.08
MO-073,Gasconade County,Missouri,216.47,20.85,104,195.62
MO-075,Gentry County,Missouri,174.3,-3.37,50,177.67
MO-077,Greene County,Missouri,231.83,21.71,103,210.12
MO-079,Grundy County,Missouri,179.25,-1.93,52,181.18
MO-081,Harrison County,Missouri,170.87,-6.69,39,177.56
MO-083,Henry County,Missouri,202.83,0.05,59,202.78
MO-085,Hickory County,Missouri,218,11.58,86,206.42
MO-087,Holt County,Missouri,162.42,-13.52,24,175.94
MO-089,Howard County,Missouri,186.02,-6.62,37,192.64
MO-091,Howell County,Missouri,246.01,21.19,111,224.82
MO-093,Iron County,Missouri,246.06,24.64,109,221.42
MO-095,Jackson County,Missouri,182.01,-9.22,32,191.23
MO-097,Jasper County,Missouri,200.1,-11.28,31,211.38
MO-099,Jefferson County,Missouri,219.56,20.79,108,198.77
MO-101,Johnson County,Missouri,195.13,-5.25,46,200.38
MO-103,Knox County,Missouri,183.26,-2.92,52,186.18
MO-105,Laclede County,Missouri,227.98,16.87,95,211.11
MO-107,Lafayette County,Missouri,189.92,-4.24,46,194.16
MO-109,Lawrence County,Missouri,229.34,14.21,86,215.13
MO-111,Lewis County,Missouri,177.21,-7.28,40,184.49
MO-113,Lincoln County,Missouri,206.02,14.11,88,191.91
MO-115,Linn County,Missouri,192.12,4.38,69,187.74
MO-117,Livingston County,Missouri,192.58,9.85,86,182.73
MO-119,McDonald County,Missouri,231.76,12.64,86,219.12
MO-121,Macon County,Missouri,189.06,-1.41,52,190.47
MO-123,Madison County,Missouri,233.49,8.68,76,224.81
MO-125,Maries County,Missouri,206.56,5.33,76,201.23
MO-127,Marion County,Missouri,179.13,-7.06,36,186.19
MO-129,Mercer County,Missouri,170.91,-9.06,29,179.97
MO-131,Miller County,Missouri,195.34,-7.18,38,202.52
MO-133,Mississippi County,Missouri,261.11,28.36,109,232.75
MO-135,Moniteau County,Missouri,190.68,-5.2,35,195.88
MO-137,Monroe County,Missouri,175.72,-13.12,25,188.84
MO-139,Montgomery County,Missouri,197.09,4.75,62,192.34
MO-141,Morgan County,Missouri,195.28,-7.79,36,203.07
MO-143,New Madrid County,Missouri,256.98,19.23,105,237.75
MO-145,Newton County,Missouri,209.43,-6.91,44,216.34
MO-147,Nodaway County,Missouri,159.71,-15.61,20,175.32
MO-149,Oregon County,Missouri,253.33,24.39,108,228.94
MO-151,Osage County,Missouri,210.04,15.98,92,194.06
MO-153,Ozark County,Missouri,266.94,51.3,123,215.64
MO-155,Pemiscot County,Missouri,242.58,4.46,60,238.12
MO-157,Perry County,Missouri,228.56,13.07,90,215.49
MO-159,Pettis County,Missouri,197.98,1.61,57,196.37
MO-161,Phelps County,Missouri,219.38,15.93,98,203.45
MO-163,Pike County,Missouri,200.73,9.59,86,191.14
MO-165,Platte County,Missouri,172.13,-6.79,40,178.92
MO-167,Polk County,Missouri,227.88,22.48,104,205.4
MO-169,Pulaski County,Missouri,211.46,4.15,75,207.31
MO-171,Putnam County,Missouri,180.23,-1.16,50,181.39
MO-173,Ralls County,Missouri,177.04,-10.47,32,187.51
MO-175,Randolph County,Missouri,186.25,-5.31,38,191.56
MO-177,Ray County,Missouri,172.75,-15.98,21,188.73
MO-179,Reynolds County,Missouri,235.07,11.58,82,223.49
MO-181,Ripley County,Missouri,258.2,23.3,105,234.9
MO-183,St. Charles County,Missouri,210.46,20.55,102,189.91
MO-185,St. Clair County,Missouri,207.09,2.75,61,204.34
MO-186,Ste. Genevieve County,Missouri,219.89,13.17,95,206.72
MO-187,St. Francois County,Missouri,232.43,19.37,105,213.06
MO-189,St. Louis County,Missouri,213.45,22.7,108,190.75
MO-195,Saline County,Missouri,187.12,-6.18,36,193.3
MO-197,Schuyler County,Missouri,184.35,1.87,64,182.48
MO-199,Scotland County,Missouri,181.12,-0.58,61,181.7
MO-201,Scott County,Missouri,245.34,17,94,228.34
MO-203,Shannon County,Missouri,229.35,8.25,77,221.1
MO-205,Shelby County,Missouri,180.95,-8.36,32,189.31
MO-207,Stoddard County,Missouri,255.11,21.63,105,233.48
MO-209,Stone County,Missouri,234.16,18.47,99,215.69
MO-211,Sullivan County,Missouri,182.97,-2.46,48,185.43
MO-213,Taney County,Missouri,255.3,41.95,120,213.35
MO-215,Texas County,Missouri,231.72,15.5,94,216.22
MO-217,Vernon County,Missouri,198.43,-2.84,53,201.27
MO-219,Warren County,Missouri,205.11,7.21,71,197.9
MO-221,Washington County,Missouri,249.59,43.91,123,205.68
MO-223,Wayne County,Missouri,242.71,12.95,88,229.76
MO-225,Webster County,Missouri,243.01,27.65,109,215.36
MO-227,Worth County,Missouri,168.05,-8.87,27,176.92
MO-229,Wright County,Missouri,238.89,23.89,110,215
MO-510,St. Louis City,Missouri,208.41,18.68,96,189.73
MT-001,Beaverhead County,Montana,88.37,-18.13,3,106.5
MT-003,Big Horn County,Montana,73.33,-4.35,36,77.68
MT-005,Blaine County,Montana,66.03,-2.06,45,68.09
MT-007,Broadwater County,Montana,70.67,-9.85,16,80.52
MT-009,Carbon County,Montana,80.95,-6.92,35,87.87
MT-011,Carter County,Montana,65.38,-5.97,30,71.35
MT-013,Cascade County,Montana,76.34,-10.05,24,86.39
MT-015,Chouteau County,Montana,64.5,-4.69,31,69.19
MT-017,Custer County,Montana,63.05,-4.91,31,67.96
MT-019,Daniels County,Montana,56.65,-9.51,9,66.16
MT-021,Dawson County,Montana,62.16,-4.11,31,66.27
MT-023,Deer Lodge County,Montana,102.58,-11.66,21,114.24
MT-025,Fallon County,Montana,66.62,-3.8,32,70.42
MT-027,Fergus County,Montana,78.42,-3.38,35,81.8
MT-029,Flathead County,Montana,168.43,-18.3,18,186.73
MT-031,Gallatin County,Montana,114.37,-7.19,32,121.56
MT-033,Garfield County,Montana,60.59,-2.99,35,63.58
MT-035,Glacier County,Montana,106.47,-21.7,7,128.17
MT-037,Golden Valley County,Montana,72.42,1.91,65,70.51
MT-039,Granite County,Montana,104.07,-18.79,4,122.86
MT-041,Hill County,Montana,58.01,-1.89,46,59.9
MT-043,Jefferson County,Montana,77.43,-15.26,9,92.69
MT-045,Judith Basin County,Montana,85.35,-13.82,6,99.17
MT-047,Lake County,Montana,120.59,-4.67,39,125.26
MT-049,Lewis and Clark County,Montana,99.62,-15.63,12,115.25
MT-051,Liberty County,Montana,58.78,0.03,59,58.75
MT-053,Lincoln County,Montana,149.26,-18.14,12,167.4
MT-055,McCone County,Montana,56.2,-7.79,15,63.99
MT-057,Madison County,Montana,108.82,-6.68,27,115.5
MT-059,Meagher County,Montana,95.64,-14.51,13,110.15
MT-061,Mineral County,Montana,172.65,-18.75,10,191.4
MT-063,Missoula County,Montana,136.88,-12.48,15,149.36
MT-065,Musselshell County,Montana,70.43,2.45,55,67.98
MT-067,Park County,Montana,127.41,-3.95,43,131.36
MT-069,Petroleum County,Montana,62.93,-2.41,40,65.34
MT-071,Phillips County,Montana,55.19,-7.8,8,62.99
MT-073,Pondera County,Montana,69.86,-13.96,5,83.82
MT-075,Powder River County,Montana,65.33,-7.58,23,72.91
MT-077,Powell County,Montana,118.36,-15.69,14,134.05
MT-079,Prairie County,Montana,60.73,-3.1,35,63.83
MT-081,Ravalli County,Montana,130.28,-17.1,7,147.38
MT-083,Richland County,Montana,56.8,-11.51,8,68.31
MT-085,Roosevelt County,Montana,53.8,-10.99,7,64.79
MT-087,Rosebud County,Montana,67.69,-0.47,56,68.16
MT-089,Sanders County,Montana,146.33,-13.19,24,159.52
MT-091,Sheridan County,Montana,55.27,-13.6,6,68.87
MT-093,Silver Bow County,Montana,77.83,-15.87,8,93.7
MT-095,Stillwater County,Montana,87.74,-1.81,49,89.55
MT-097,Sweet Grass County,Montana,91.86,-2,44,93.86
MT-099,Teton County,Montana,77.68,-12.17,12,89.85
MT-101,Toole County,Montana,56.1,-6.58,21,62.68
MT-103,Treasure County,Montana,70.76,3.16,65,67.6
MT-105,Valley County,Montana,53.02,-9.47,9,62.49
MT-107,Wheatland County,Montana,72.44,-7.55,20,79.99
MT-109,Wibaux County,Montana,69.01,-2.55,37,71.56
MT-111,Yellowstone County,Montana,69.79,2.19,70,67.6
NE-001,Adams County,Nebraska,114.12,-11.49,24,125.61
NE-003,Antelope County,Nebraska,115.27,-8.19,27,123.46
NE-005,Arthur County,Nebraska,88.98,-3.77,32,92.75
NE-007,Banner County,Nebraska,69.81,-15.99,1,85.8
NE-009,Blaine County,Nebraska,116.07,3.93,69,112.14
NE-011,Boone County,Nebraska,120.7,-6.49,30,127.19
NE-013,Box Butte County,Nebraska,73.4,-10.51,10,83.91
NE-015,Boyd County,Nebraska,108.88,-4.95,38,113.83
NE-017,Brown County,Nebraska,108.88,-4.26,42,113.14
NE-019,Buffalo County,Nebraska,115.09,-5.83,37,120.92
NE-021,Burt County,Nebraska,126.42,-16.56,12,142.98
NE-023,Butler County,Nebraska,128.26,-12.13,21,140.39
NE-025,Cass County,Nebraska,137.06,-14.22,26,151.28
NE-027,Cedar County,Nebraska,114.26,-16.21,15,130.47
NE-029,Chase County,Nebraska,77.79,-16.61,2,94.4
NE-031,Cherry County,Nebraska,101.61,1.71,60,99.9
NE-033,Cheyenne County,Nebraska,75.16,-12.98,8,88.14
NE-035,Clay County,Nebraska,116.38,-15.15,17,131.53
NE-037,Colfax County,Nebraska,114.8,-23.27,10,138.07
NE-039,Cuming County,Nebraska,118.45,-20.58,12,139.03
NE-041,Custer County,Nebraska,109.78,-4.41,38,114.19
NE-043,Dakota County,Nebraska,116.99,-15.11,14,132.1
NE-045,Dawes County,Nebraska,72.91,-16.63,2,89.54
NE-047,Dawson County,Nebraska,100.5,-11.31,22,111.81
NE-049,Deuel County,Nebraska,76.01,-15.06,9,91.07
NE-051,Dixon County,Nebraska,115.76,-16.5,14,132.26
NE-053,Dodge County,Nebraska,124.87,-19.12,13,143.99
NE-055,Douglas County,Nebraska,134.68,-12.94,16,147.62
NE-057,Dundy County,Nebraska,78.97,-14.36,9,93.33
NE-059,Fillmore County,Nebraska,119.77,-19.02,10,138.79
NE-061,Franklin County,Nebraska,119.84,-0.37,52,120.21
NE-063,Frontier County,Nebraska,97.2,-8.95,19,106.15
NE-065,Furnas County,Nebraska,106.98,-2.03,48,109.01
NE-067,Gage County,Nebraska,131.09,-19.19,10,150.28
NE-069,Garden County,Nebraska,78.41,-9.6,16,88.01
NE-071,Garfield County,Nebraska,110.86,-1.67,47,112.53
NE-073,Gosper County,Nebraska,100.53,-9.9,21,110.43
NE-075,Grant County,Nebraska,94.48,-0.9,46,95.38
NE-077,Greeley County,Nebraska,116.16,-4.53,35,120.69
NE-079,Hall County,Nebraska,114.68,-9.34,31,124.02
NE-081,Hamilton County,Nebraska,119.8,-9.97,28,129.77
NE-083,Harlan County,Nebraska,114.21,0.09,56,114.12
NE-085,Hayes County,Nebraska,83.67,-18.65,3,102.32
NE-087,Hitchcock County,Nebraska,82.62,-18.17,6,100.79
NE-089,Holt County,Nebraska,111,-3.74,40,114.74
NE-091,Hooker County,Nebraska,102.76,1.61,61,101.15
NE-093,Howard County,Nebraska,117.24,-5.37,32,122.61
NE-095,Jefferson County,Nebraska,125.95,-17.81,12,143.76
NE-097,Johnson County,Nebraska,136.02,-22.09,9,158.11
